time,open,high,low,close,volume
2018-01-16T23:30:00Z,11233,11385,10964,11368,8.514512820000503
2018-01-16T23:45:00Z,11358,11369,11054,11065,-340.8745497499988
2018-01-17T00:00:00Z,11065,11400,11063,11384,-88.44674595000046
2018-01-17T00:15:00Z,11384,11497,11159,11279,-21.114316499999635
2018-01-17T00:30:00Z,11280,11284.99489556,10825,11109,-175.97773061999902
2018-01-17T00:45:00Z,11115,11124,10834,10889,-264.75263729000045
2018-01-17T01:00:00Z,10889,11164,10812,10986,-457.8784053799993
2018-01-17T01:15:00Z,10989,11150,10867,11074,1.5514767699999197
2018-01-17T01:30:00Z,11075,11412,10984,11288,-68.2146980600002
2018-01-17T01:45:00Z,11290,11300,11028,11028,-184.88771493000007
2018-01-17T02:00:00Z,11036,11231,10923,11093,45.780508910000144
2018-01-17T02:15:00Z,11093,11240,11042,11113,-59.72001881000022
2018-01-17T02:30:00Z,11112,11112,10843,10889,-175.32193446000036
2018-01-17T02:45:00Z,10868,10968,10600,10805,-216.86876135999938
2018-01-17T03:00:00Z,10807,10880,10600,10652,-80.24448657000013
2018-01-17T03:15:00Z,10651,10690,10258,10393,-352.11046343
2018-01-17T03:30:00Z,10393,10622,10202,10208,-260.9812671899996
2018-01-17T03:45:00Z,10209,10716,10200,10667,36.1802619300001
2018-01-17T04:00:00Z,10667,10719,10317,10462,-162.19156005
2018-01-17T04:15:00Z,10461,10675,10454,10675,-29.145959260000023
2018-01-17T04:30:00Z,10649,10999,10644,10904,476.93445283000204
2018-01-17T04:45:00Z,10904,11183,10874,10940,171.76921757000088
2018-01-17T05:00:00Z,10939,10940,10803,10836,-33.91852411000004
2018-01-17T05:15:00Z,10842,10919,10592.98098143,10856,-104.55051805999906
2018-01-17T05:30:00Z,10852,11126,10675,10777,69.36051056000139
2018-01-17T05:45:00Z,10776,10944,10708,10912,-14.08716233999991
2018-01-17T06:00:00Z,10912,11080,10875.28675551,10980,45.62475508
2018-01-17T06:15:00Z,10978,11218,10965,11089,35.79035038999989
2018-01-17T06:30:00Z,11095,11244,11080,11208,88.86309260999995
