time,open,high,low,close,volume
2018-01-21T23:00:00Z,11170.87105467,11514,11128,11514,168.74916609000016
2018-01-22T00:00:00Z,11513,11717,11429,11680,301.96207964000104
2018-01-22T01:00:00Z,11690,11699,11323.33696904,11388,-229.32119112000032
2018-01-22T02:00:00Z,11388,11601.71253823,11222,11557,-298.26726979
2018-01-22T03:00:00Z,11556,11560.85626911,11388.37920489,11488.68501529,-70.21273931999997
2018-01-22T04:00:00Z,11490,11800,11489,11608,277.7382158099977
2018-01-22T05:00:00Z,11616,11627,11355,11458,-216.31524505999985
2018-01-22T06:00:00Z,11458,11673,11420,11593,65.41492078999993
2018-01-22T07:00:00Z,11594,11775,11487,11750,-284.70975932000096
2018-01-22T08:00:00Z,11750,11900,11651,11718,39.560081929999875
2018-01-22T09:00:00Z,11716,11878,11630,11764,117.46961787
2018-01-22T10:00:00Z,11765,11765,11635,11728,-207.55942825000082
2018-01-22T11:00:00Z,11727,11743,11272,11273,-739.7111671399999
2018-01-22T12:00:00Z,11272,11352,11163.24794497,11281,-449.9442738100001
2018-01-22T13:00:00Z,11279,11280,10371,10579,-1833.8630274900067
2018-01-22T14:00:00Z,10587,10840,10500,10622,-354.42099361000163
2018-01-22T15:00:00Z,10621,10698.18716316,10176,10375,-1324.832557769989
2018-01-22T16:00:00Z,10375,10630,10306,10458,42.97366033000007
2018-01-22T17:00:00Z,10462,10725,10459,10554,258.88866801000074
2018-01-22T18:00:00Z,10554,10650,10370,10420,-325.6430718700017
2018-01-22T19:00:00Z,10420,10600,10354,10568,158.06443773000038
2018-01-22T20:00:00Z,10567,10595.97938928,10268,10377,-623.6064529300014
2018-01-22T21:00:00Z,10378,10455,10009,10351,-1088.8994610900088
2018-01-22T22:00:00Z,10351,10700,10261,10652,435.2705513800017
2018-01-22T23:00:00Z,10646,10900,10531,10779,588.1954060700003
2018-01-23T00:00:00Z,10779,10900,10611,10813,177.96041608000073
2018-01-23T01:00:00Z,10812.5425002,10961,10649,10649,-194.8333670700001
2018-01-23T02:00:00Z,10649,10848,10619,10768,259.639767449999
2018-01-23T03:00:00Z,10768,10987,10768,10852,23.404865310000005
2018-01-23T04:00:00Z,10851,10944,10564,10580,-402.1385250599998
2018-01-23T05:00:00Z,10581,10598.51368142,10260,10367,-545.1399431899956
2018-01-23T06:00:00Z,10376,10565,10208.47464072,10305,-43.461140679999914
2018-01-23T07:00:00Z,10305,10376,10131,10264,-380.2625387799978
2018-01-23T08:00:00Z,10264,10729,10172,10676,385.1444364700021
2018-01-23T09:00:00Z,10675,10687,10389,10447,-178.68740470999782
2018-01-23T10:00:00Z,10448,10548,10200,10300,-416.86913892000035
2018-01-23T11:00:00Z,10301,10438,9900,10150,-1048.061061269995
2018-01-23T12:00:00Z,10151,10400,10013,10195,174.3589214499989
2018-01-23T13:00:00Z,10195,10447,10113,10294,-48.72116401000024
2018-01-23T14:00:00Z,10294,10500,10176,10432,477.1335714999983
2018-01-23T15:00:00Z,10432,10794,10394,10752,253.35311783999984
2018-01-23T16:00:00Z,10745,11427,10740,11344,1106.8025354800075
2018-01-23T17:00:00Z,11343,11385,11096,11172,-393.55768452000007
2018-01-23T18:00:00Z,11172,11421,11152,11219,83.5681279600005
2018-01-23T19:00:00Z,11220,11249,10930,11013,-479.8292528199992
2018-01-23T20:00:00Z,11010,11227,10885,11142,228.6206050700004
2018-01-23T21:00:00Z,11142,11159,10911,10978,148.78917794999973
2018-01-23T22:00:00Z,10978,11170,10972,11009,495.08475927999973
2018-01-23T23:00:00Z,11009,11064,10746,10811,-177.99430428000056
2018-01-24T00:00:00Z,10812,10906,10522,10580,-402.07785876000287
2018-01-24T01:00:00Z,10581,10829,10522,10589,567.7470616400082
2018-01-24T02:00:00Z,10588,10768,10518.33321843,10739,701.6471827099992
2018-01-24T03:00:00Z,10739,10861,10615,10810,285.7017395600003
2018-01-24T04:00:00Z,10809,10813,10430,10631,-554.0472663900006
2018-01-24T05:00:00Z,10630,10749,10542,10626,2.454617930000026
2018-01-24T06:00:00Z,10626,11052,10598,10921,376.1414431900014
2018-01-24T07:00:00Z,10921,11090,10842,10936,491.418707449998
2018-01-24T08:00:00Z,10936.16423709,11013,10813,10835,10.486582029999846
2018-01-24T09:00:00Z,10835,11087,10761,11051,149.88035983000023
2018-01-24T10:00:00Z,11055,11162,10919,10991,250.87718631999925
2018-01-24T11:00:00Z,10990,11194,10888,11045,1.9037423400004485
2018-01-24T12:00:00Z,11045,11461,10970,11286,680.5968846099989
2018-01-24T13:00:00Z,11286.09863699,11385,11183,11330,114.47445048000036
2018-01-24T14:00:00Z,11320,11557.88958366,11203,11286,724.2116433899984
2018-01-24T15:00:00Z,11290,11332,11030,11078,-585.5389957099987
2018-01-24T16:00:00Z,11075,11114,10921,11049,-261.9761673999983
2018-01-24T17:00:00Z,11048,11138,10858,11102,-195.16962811999815
2018-01-24T18:00:00Z,11102,11184,10990,11025,-122.13985438999914
2018-01-24T19:00:00Z,11021,11243,11000,11202,124.52933329000004
